"dept_no","dept_name","dept_email","location"
1,"marketing","marketing@company.com","delhi               "
2,"IT","it@company.com","Kolkata             "
3,"Shipping","shipping@company.com","Lucknow             "
4,"Executive","executive@company.com","Banglore            "
5,"operation","operation@company.com","Paris               "
6,"Finance","finance@company.com","New York            "
7,"Purchase","purchase@company.com","london              "
8,"HR","hr@company.com","Dubai               "
9,"Sales","sales@company.com","Mumbai              "
10,"Accounting","accounting@company.com","USA                 "
11,"construction","construction@company.com","New Delhi           "
12,"Research and Development","researchanddevelopment@company.com","Europe              "
13,"Business Administration","ba@company.com","Nagpur              "
14,"Production","production@company.com","chennai             "
15,"Design","design@company.com","Hyderabad           "
16,"Maintenance","maintenance@company.com","Pune                "
17,"Services","services@company.com","England             "
18,"Quality management","qualitymanagement@company.com","bangkok             "
19,"Administration","administration@company.com","Jabalpur            "
20,"Legal Department","legal@company.com","Nanded              "
